start,end,first3,last3,eq,erc_irr,erc_diff,erc_turn,erc_irr52,invvol_irr,invvol_diff,invvol_turn,invvol_irr52,6040_irr,6040_diff,6040_turn,6040_irr52,equal_irr,equal_diff,equal_turn,equal_irr52
1997,2016,26.879532653053673,8.347361449857083,6.138217934627124,6.018971351795259,-0.11924658283186496,0.22140985618017783,4.850432502210182,4.870443282534222,-1.2677746520929025,0.1514929873600421,3.7574211492448577,5.649504603861121,-0.48871333076600276,0.14835091255467864,4.457842374018926,5.467263410957937,-0.6709545236691872,0.15719728625305482,4.291523245213223
1998,2017,11.222345542007318,11.663117107008336,7.117564511770519,5.85175928271457,-1.2658052290559487,0.21814396179226572,4.671757580865596,4.821232401661718,-2.296332110108801,0.14822709297213002,3.725911753749521,6.063955745421265,-1.053608766349254,0.14820634997014878,4.800442017189279,5.700140558314837,-1.4174239534556818,0.15016003143816112,4.488109955387527
1999,2018,-0.5626571524214641,9.680083441178521,6.308347238159861,4.981588631815017,-1.3267586063448444,0.21928940280145545,3.9788054922265754,4.263172242299366,-2.045174995860495,0.14129806577123927,3.2998192039045735,5.519601733512815,-0.7887455046470464,0.1476410649739366,4.376605501254681,5.159772905816971,-1.14857433234289,0.14671204393494958,4.068819838614665
2000,2019,-14.771099888176686,14.893743534299952,7.938403379140449,5.648307495524066,-2.2900958836163827,0.22257490027922255,4.4960117038379295,4.931152187975145,-3.007251191165304,0.1348591714011796,3.8108885174916423,6.669716280642221,-1.2686870984982281,0.15106086972569246,5.295282133169843,6.127775243131721,-1.8106281360087282,0.15053501526380678,4.832224868044549
2001,2020,-2.663136232861718,15.438475272370479,9.231606561189402,5.787704481626882,-3.4439020795625197,0.19868097307000068,4.593640198244824,5.459781621805675,-3.771824939383727,0.14513810418743378,4.238811838321214,7.211012263692576,-2.0205942974968254,0.15136807162366975,5.751637824470639,6.65590428887344,-2.5757022723159615,0.15054548557156835,5.270743485382521
2002,2021,5.145986798026958,26.12635600009132,10.364362229304112,6.012066614072498,-4.352295615231614,0.20060065307552682,4.774856524535552,5.347030708375125,-5.017331520928987,0.14238181572901806,4.206356312889444,7.643878295509338,-2.7204839337947737,0.14362029077989172,6.168158107616464,6.936749499753161,-3.42761272955095,0.14294971624025649,5.56158046588969
2003,2022,16.07652335898184,7.163136039458595,8.090480161002569,4.339812634461857,-3.7506675265407123,0.1930954725711364,3.5655403229640905,3.8113468243306663,-4.279133336671903,0.13525288965324062,3.0687559554221746,5.856879133558736,-2.233601027443833,0.13506053578337085,4.796845891711651,5.227108910432911,-2.8633712505696582,0.1442445577350318,4.257768430960564
2004,2023,11.076853246571062,7.913666742094261,9.179996843964172,4.498187851188597,-4.681808992775576,0.18690607187292915,3.6914900128847683,3.979045111116719,-5.200951732847454,0.12906348895503333,3.154565497331134,6.384185180452534,-2.795811663511638,0.13372236123121412,5.204660676002841,5.658910905877115,-3.521085938087057,0.1381140502609238,4.574744613117191
2005,2024,8.98909748514063,8.247963685036064,10.248970791087144,4.4577171102716004,-5.791253680815544,0.18769793812808439,3.6035182415699127,4.0014260566381425,-6.247544734449002,0.1298553552101886,3.124562001862183,6.794414869448498,-3.4545559216386463,0.1364204547543725,5.476465673695132,5.889937936311174,-4.35903285477597,0.13889099462682947,4.704781347290651
2006,2025,-8.227652388953254,23.01803217183609,10.861324999044031,4.6539202881893145,-6.207404710854717,0.18385122297675566,3.6949655937930883,4.2486606501479365,-6.612664348896095,0.1260086400588598,3.2859887423731307,7.262076746788532,-3.5992482522554994,0.13993742647940946,5.826767353321285,6.220645674928958,-4.640679324115073,0.1401424059447996,4.938556886745833
