,implicita,realizzata,premio
2001-10-05,33.39,20.89167776891082,12.49832223108918
2001-10-08,35.12,21.033370628598792,14.086629371401205
2001-10-09,34.83,20.921891883861804,13.908108116138195
2001-10-10,31.6,19.51235608531175,12.08764391468825
2001-10-11,31.5,18.6613825854357,12.8386174145643
2001-10-12,35.27,18.517267617010962,16.75273238298904
2001-10-15,35.31,19.452878450244906,15.857121549755096
2001-10-16,32.88,19.350751923375036,13.529248076624967
2001-10-17,35.08,17.617741058376424,17.462258941623574
2001-10-18,34.95,17.352922520428724,17.59707747957128
2001-10-19,34.11,17.58277452508569,16.52722547491431
2001-10-22,32.25,17.461752489369516,14.788247510630484
2001-10-23,32.0,17.451393067603586,14.548606932396414
2001-10-24,30.95,17.739467861241003,13.210532138758996
2001-10-25,29.46,17.33399896157844,12.12600103842156
2001-10-26,28.42,17.543586862440716,10.876413137559286
2001-10-29,31.64,16.6036959740897,15.036304025910301
2001-10-30,33.46,15.19890522373247,18.26109477626753
2001-10-31,33.56,15.288583976287736,18.271416023712266
2001-11-01,32.31,14.437817009506754,17.87218299049325
2001-11-02,30.71,15.051049132867862,15.65895086713214
2001-11-05,30.5,16.18087760289912,14.31912239710088
2001-11-06,28.8,15.707124498137858,13.092875501862142
2001-11-07,29.13,15.998989968119941,13.131010031880058
2001-11-08,28.62,17.089968987684053,11.530031012315948
2001-11-09,27.44,17.12907353011256,10.310926469887441
2001-11-12,29.35,17.11751033298951,12.23248966701049
2001-11-13,26.47,16.805174203203105,9.664825796796894
2001-11-14,26.56,16.791815863687976,9.768184136312023
2001-11-15,25.56,17.206158199900493,8.353841800099506
2001-11-16,25.07,17.405692172390122,7.664307827609878
2001-11-19,24.46,17.016896309256953,7.4431036907430475
2001-11-20,24.12,17.103034818417548,7.016965181582453
2001-11-21,24.19,17.096034627948168,7.093965372051834
2001-11-23,23.25,16.629149106313378,6.620850893686622
2001-11-26,23.79,16.526676616912518,7.2633233830874815
2001-11-27,24.0,16.54753878980203,7.452461210197971
2001-11-28,25.9,15.136669382661516,10.763330617338482
2001-11-29,25.18,15.26374528089364,9.91625471910636
2001-11-30,23.84,15.291279867950974,8.548720132049025
2001-12-03,25.77,15.170301249480927,10.599698750519073
2001-12-04,24.08,14.606975046189497,9.473024953810501
2001-12-05,23.02,12.581085803697666,10.438914196302333
2001-12-06,23.71,12.601161851194636,11.108838148805365
2001-12-07,23.49,12.4239993560851,11.066000643914899
2001-12-10,25.62,11.09236494170665,14.52763505829335
2001-12-11,25.3,11.539941074373077,13.760058925626923
2001-12-12,24.87,11.966568430423274,12.903431569576727
2001-12-13,25.91,10.776045656918996,15.133954343081005
2001-12-14,24.63,12.340951340962452,12.289048659037547
2001-12-17,24.26,12.361897912537657,11.898102087462345
2001-12-18,23.29,12.571658601791697,10.718341398208302
2001-12-19,22.58,12.698845616826882,9.881154383173117
2001-12-20,23.67,12.822366396262552,10.84763360373745
2001-12-21,22.5,12.735603637048504,9.764396362951496
2001-12-24,22.62,12.74183503267889,9.87816496732111
2001-12-26,22.29,12.604556319046026,9.685443680953973
2001-12-27,21.59,14.949507015283265,6.640492984716735
2001-12-28,21.4,15.439287548329533,5.9607124516704655
2001-12-31,23.8,15.968009268534484,7.831990731465517
2002-01-02,22.71,16.016763718055007,6.693236281944994
2002-01-03,21.34,17.266932559085408,4.073067440914592
2002-01-04,20.45,16.896270594424198,3.553729405575801
2002-01-07,21.94,16.923382640595342,5.016617359404659
2002-01-08,21.83,16.92108507159053,4.9089149284094695
2002-01-09,22.13,18.18463307300985,3.9453669269901503
2002-01-10,22.36,18.964331783640663,3.3956682163593364
2002-01-11,22.6,18.809928229528243,3.7900717704717586
2002-01-14,23.58,19.034552792225067,4.545447207774931
2002-01-15,22.7,18.849207940918983,3.850792059081016
2002-01-16,23.45,18.409658334689514,5.0403416653104856
2002-01-17,22.25,18.967254941082103,3.2827450589178966
2002-01-18,22.52,19.440870350887153,3.079129649112847
2002-01-22,23.61,19.90962681719583,3.700373182804171
2002-01-23,21.88,19.802830100771036,2.077169899228963
2002-01-24,21.15,20.711208559618225,0.43879144038177387
2002-01-25,21.01,20.713624501762197,0.2963754982378042
2002-01-28,21.14,20.716587556834817,0.42341244316518356
2002-01-29,24.35,18.74956639498639,5.60043360501361
2002-01-30,23.22,19.96623249388835,3.25376750611165
2002-01-31,21.09,20.58664907166785,0.50335092833215
2002-02-01,21.12,20.506121037387903,0.6138789626120982
2002-02-04,24.87,18.86143684876638,6.00856315123362
2002-02-05,25.45,18.892563616407443,6.557436383592556
2002-02-06,26.09,18.54397368419191,7.5460263158080885
2002-02-07,25.11,18.33945909780335,6.77054090219665
2002-02-08,23.26,17.929876742465414,5.330123257534588
